max_time, bot_name, score, ms_per_move, times_late
1, rand, [0, 18, 15, 15, 15], 0.00500594774882, 19
1, bully, [12, 0, 9, 15, 21], 0.00551794899835, 21
1, rdeep, [15, 21, 0, 18, 12], 0.00466432571411, 18
1, ml, [15, 15, 12, 0, 21], 0.00510434574551, 19
1, selection_basic, [15, 9, 18, 9, 0], 0.00580829514398, 23
2, rand, [0, 15, 15, 15, 15], 0.00572781562805, 20
2, bully, [15, 0, 15, 18, 12], 0.00582981639438, 20
2, rdeep, [15, 15, 0, 24, 12], 0.00517609914144, 18
2, ml, [15, 12, 6, 0, 18], 0.00648180643717, 23
2, selection_basic, [15, 18, 18, 12, 0], 0.00531044536167, 19
5, rand, [0, 10, 30, 27, 30], 0.0074207573593, 2
5, bully, [15, 0, 30, 30, 30], 0.00928987730117, 3
5, rdeep, [0, 0, 0, 12, 12], 0.0111981444889, 32
5, ml, [3, 0, 18, 0, 18], 0.00956656667921, 27
5, selection_basic, [0, 0, 18, 12, 0], 0.0107117970785, 30
10, rand, [0, 4, 30, 27, 30], 0.0157011357207, 4
10, bully, [18, 0, 30, 27, 30], 0.0145280502124, 1
10, rdeep, [0, 0, 0, 12, 9], 0.0177918593089, 33
10, ml, [3, 3, 18, 0, 15], 0.0147894594404, 27
10, selection_basic, [0, 0, 21, 15, 0], 0.015018108156, 28
20, rand, [0, 7, 15, 9, 30], 0.0146474020065, 0
20, bully, [11, 0, 8, 20, 30], 0.0157843493953, 0
20, rdeep, [12, 11, 0, 22, 30], 0.0217823854283, 7
20, ml, [12, 4, 4, 0, 30], 0.0224686655902, 15
20, selection_basic, [0, 0, 0, 0, 0], 0.0286872016059, 40
50, rand, [0, 6, 3, 0, 30], 0.0149231107756, 0
50, bully, [13, 0, 2, 3, 30], 0.0163339346321, 0
50, rdeep, [13, 13, 0, 12, 30], 0.0298746850146, 0
50, ml, [18, 11, 8, 0, 30], 0.0280770180886, 4
50, selection_basic, [0, 0, 0, 0, 0], 0.0566755983565, 40
100, rand, [0, 4, 0, 3, 30], 0.0157719372315, 0
100, bully, [14, 0, 1, 5, 30], 0.0161514879198, 0
100, rdeep, [22, 18, 0, 12, 30], 0.0241775254565, 0
100, ml, [19, 10, 2, 0, 30], 0.0290930763022, 0
100, selection_basic, [0, 0, 0, 0, 0], 0.100365569856, 40
200, rand, [0, 3, 1, 3, 30], 0.0173053007151, 0
200, bully, [16, 0, 4, 10, 30], 0.0163348908651, 0
200, rdeep, [16, 9, 0, 7, 30], 0.0260974914119, 0
200, ml, [8, 10, 8, 0, 30], 0.0310915279704, 0
200, selection_basic, [0, 0, 0, 0, 0], 0.186655272378, 37
